Sitio,Indiv,Especie,Clave,Familia,FV,DAP2004,DAP2010
G,17,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.4,
G,18,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,2.2,2.4
G,29,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.8,1
G,29,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,,1.8
G,37,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1,
G,37,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.2,
G,37,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.3,
G,41,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1,
G,41,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.2,
G,41,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.3,
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.4,
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.5,
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.7,1.6
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.9,
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.9,
G,53,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,2.7,1.8
G,66,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,1.8,2.8
G,66,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,2.3,2.5
G,66,Croton niveus Jacq.,CRONIV,Euphorbiaceae,Arbol,2.5,2.4
G,67,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.1,2
G,67,Croton roxanae Croizat,CROROX,Euphorbiaceae,arbusto,1.3,1.2
G,7,Diospyros aequoris Standl.,DIOAEQ,Ebenaceae,arbusto,1.4,1.4
G,19,Diospyros aequoris Standl.,DIOAEQ,Ebenaceae,arbusto,1.3,1.3
G,19,Diospyros aequoris Standl.,DIOAEQ,Ebenaceae,arbusto,1.9,1.9
G,19,Diospyros aequoris Standl.,DIOAEQ,Ebenaceae,arbusto,,1
G,45,Guapira macrocarpa (Miranda) Miranda,GUAMAC,Nyctaginaceae,Arbol,5,6
G,45,Guapira macrocarpa (Miranda) Miranda,GUAMAC,Nyctaginaceae,Arbol,,2.4
G,56,Guapira macrocarpa (Miranda) Miranda,GUAMAC,Nyctaginaceae,Arbol,1.6,
G,56,Guapira macrocarpa (Miranda) Miranda,GUAMAC,Nyctaginaceae,Arbol,1.9,2.4
G,61,Guapira macrocarpa (Miranda) Miranda,GUAMAC,Nyctaginaceae,Arbol,3,2.8
G,6,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,2.8,4.5
G,6,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,2.8,4.6
G,6,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,4,3
G,39,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,2.3,2.2
G,39,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,2.8,4.7
G,39,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,4,4.3
G,39,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,7.8,6.8
G,40,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,2.9,3.5
G,52,Jacquinia pungens A. Gray.,JACPUN,Theophrastaceae,Arbol,4,6.4
G,13,Lonchocarpus guatemalensis Benth.,LONGUA,Fabaceae,Arbol,3.2,3.2
G,22,Lonchocarpus guatemalensis Benth.,LONGUA,Fabaceae,Arbol,5.2,5.7
G,32,Lonchocarpus guatemalensis Benth.,LONGUA,Fabaceae,Arbol,5.7,6
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,2.7,2.6
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,2.7,5
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,2.8,3.3
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,3.3,3.9
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,3.6,3.4
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,4.4,5.2
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,4.8,7.1
G,3,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,6.4,4.3
G,26,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,2.8,3.1
G,33,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,6.1,6.7
G,33,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,,1.7
G,33,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,,2.3
G,34,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,5.8,7.1
G,69,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,2.6,3.7
G,69,Lonchocarpus mutans M. Sousa,LONMUT,Fabaceae,Arbol,4.7,6.1
G,42,Lonchocarpus sp.R,LONsp.R,Fabaceae,Arbol,2.7,
G,68,Malpighia novogaliciana W.R. Anderson,MALNOV,Malpighiaceae,Arbol,2.3,5.2
G,68,Malpighia novogaliciana W.R. Anderson,MALNOV,Malpighiaceae,Arbol,4.1,2.5
G,68,Malpighia novogaliciana W.R. Anderson,MALNOV,Malpighiaceae,Arbol,4.9,5.2
G,68,Malpighia novogaliciana W.R. Anderson,MALNOV,Malpighiaceae,Arbol,5.3,5.5
G,15,Mimosa arenosa (Willd.) Poir.,MIMARE,Fabaceae,Arbol,20.7,24.4
G,15,Mimosa arenosa (Willd.) Poir.,MIMARE,Fabaceae,Arbol,29.6,34
G,2,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,3.6,4.1
G,2,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,3.7,5.5
G,2,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,3.8,3.3
G,2,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,5.1,4.3
G,51,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,5.8,6.6
G,57,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,6.5,7
G,57,Piptadenia constricta (Micheli & Rose ex Micheli) J.F. Macbr.,PIPCON,Fabaceae,Arbol,,1.3
G,1,Randia malacocarpa Standl.,RANMAL,Rubiaceae,arbusto,1,1.3
G,1,Randia malacocarpa Standl.,RANMAL,Rubiaceae,arbusto,1.2,
G,1,Randia malacocarpa Standl.,RANMAL,Rubiaceae,arbusto,1.8,2.2
G,65,Randia malacocarpa Standl.,RANMAL,Rubiaceae,arbusto,1.6,
G,65,Randia malacocarpa Standl.,RANMAL,Rubiaceae,arbusto,1.8,
G,612,Senna mollissima (Humb. & Bonpl. ex Willd.) H.S. Irwin & Barneby,SENMOL,Fabaceae,Arbol,,1.3
G,10,Spondias purpurea L.,SPOPUR,Anacardiaceae,Arbol,13.6,15.8
G,48,Spondias purpurea L.,SPOPUR,Anacardiaceae,Arbol,3.9,14.2
G,48,Spondias purpurea L.,SPOPUR,Anacardiaceae,Arbol,10,4
G,31,Stemmadenia donnell-smithii (Rose) Woodson,STEDON,Apocynaceae,Arbol,1.9,
G,31,Stemmadenia donnell-smithii (Rose) Woodson,STEDON,Apocynaceae,Arbol,2.5,
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,1,5.6
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,2,3.2
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,2.6,3
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,2.7,2.7
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,4.8,1.4
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,4.9,1.7
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,5.7,7.9
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,6.4,5.4
G,4,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,,1.3
G,14,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,1.2,
G,14,Thouinia paucidentata Radlk.,THOPAU,Sapindaceae,Arbol,1.4,
