Family,Genus,Specific epithet,species author,Clave
Ulmaceae,Phyllostylon,rhamnoides,(J. Poiss.) Taub.   ,PHYRHA
Leguminosae,Piptadenia,constricta,(Micheli & Rose ex Micheli) J.F.,PIPCON
Leguminosae,Piptadenia,flava,(Spreng. ex DC.) Benth.  ,PIPFLA
Euphorbiaceae,Piranhea,mexicana,(Standl.) Radcl.-Sm.    ,PIRMEX
Leguminosae,Piscidia,carthagenensis,Jacq.     ,PISCAR
Leguminosae,Platymiscium,lasiocarpum,Sandwith     ,PLALAS
Apocynaceae,Plumeria,rubra,L.     ,PLURUB
Polygonaceae,Podopterus,mexicanus,Bonpl.     ,PODMEX
Leguminosae,Pterocarpus,orbiculatus,DC.     ,PTEORB
Rubiaceae,Randia,thurberi,S. Wats.    ,RANTHU
Simaroubaceae,Recchia,mexicana,Moc. & Sessé ex DC. ,RECMEX
Polygonaceae,Ruprechtia,fusca,Fernald     ,RUPFUS
Flacourtiaceae,Samyda,mexicana,Rose     ,SAMMEX
Euphorbiaceae,Sapium,pedicellatum,Huber     ,SAPPED
Leguminosae,Senna,fruticosa,(Mill.) H.S. Irwin & Barneby ,SENFRU
Leguminosae,Senna,mollissima,(Humb. & Bonpl. ex Willd.) H.S.,SENMOL
Anacardiaceae,Spondias,purpurea,L.     ,SPOPUR
Phytolaccaceae,Stegnosperma,cubense,A. Rich.    ,STECUB
Apocynaceae,Stemmadenia,donnell-smithii,(Rose) Woodson    ,STEDON
Meliaceae,Swietenia,humilis,Zucc.     ,SWIHUM
Bignoniaceae,Tabebuia,chrysantha,G. Nicholson    ,TABCHR
Bignoniaceae,Tabebuia,impetiginosa,(Mart. ex DC.) Standl.  ,TABIMP
Sapindaceae,Thouinia,paucidentata,Radlk.     ,THOPAU
Sapindaceae,Thouinidium,decandrum,(Humb. & Bonpl.) Radlk.  ,THODEC
Meliaceae,Trichilia,trifolia,L.     ,TRITRI
Urticaceae,Urera,pacifica,V.W. Steinm.    ,UREPAC
Rutaceae,Zanthoxylum,fagara,(L.) Sarg.    ,ZANFAG
Rutaceae,Zanthoxylum,sp.3,     ,ZANSP.
